entity_id,qualified_name,entity_kind,declaring_type,package_name,return_or_field_type,semantic_role,architectural_role,domain_relevance,variability_relevance,classification_confidence,name_evidence,declaring_type_evidence,type_signature_evidence,package_evidence,usage_context_evidence,dependency_context_evidence,positive_evidence,negative_evidence,previous_role,role_changed,change_reason
E15,Missile$$TankWar.explodieren,METHOD,Missile$$TankWar,Missile$$TankWar,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=explodieren,declaring=missile|tank|war,,package=missile|tank|war,incoming=2;outgoing=1;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=erkennen|manager|menge|missile|missiles|tank|treffen|war,name tokens=explodieren,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E16,Missile$$TankWar.remove,METHOD,Missile$$TankWar,Missile$$TankWar,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=remove,declaring=missile|tank|war,,package=missile|tank|war,incoming=2;outgoing=1;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=erkennen|manager|menge|missile|missiles|tank|treffen|war,name tokens=remove,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E17,Tank$$Tools,CLASS,,,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,LOW,name=tank|tools,,,,incoming=4;outgoing=1;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=beschleunigung|bombe|einfrieren|tank|war,name tokens=tank|tools,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E18,Tank$$Tools.Tank$$Tools,CONSTRUCTOR,Tank$$Tools,Tank$$Tools,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,LOW,name=tank|tools,declaring=tank|tools,,package=tank|tools,incoming=0;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,,name tokens=tank|tools,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E19,Tank$$Tools.malen,METHOD,Tank$$Tools,Tank$$Tools,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=malen,declaring=tank|tools,,package=tank|tools,incoming=0;outgoing=2;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=feuern|kontroller|tank|tool|tools|war,name tokens=malen,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E20,Tank$$Tools.toolKontroller,METHOD,Tank$$Tools,Tank$$Tools,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=kontroller|tool,declaring=tank|tools,,package=tank|tools,incoming=1;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=malen|tank|tools,name tokens=kontroller|tool,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E21,Tank$$Tools.toolBehandeln,METHOD,Tank$$Tools,Tank$$Tools,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,LOW,name=behandeln|tool,declaring=tank|tools,,package=tank|tools,incoming=0;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,,name tokens=behandeln|tool,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E22,MapInfo,CLASS,,,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,LOW,name=info|map,,,,incoming=0;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,,name tokens=info|map,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E23,MapInfo.brickWall,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=brick|wall,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|laden|manager|map|read|tank|war,name tokens=brick|wall,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E24,MapInfo.metalWall,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=metal|wall,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|laden|manager|map|read|tank|war,name tokens=metal|wall,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E25,MapInfo.grassWall,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=grass|wall,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|laden|manager|map|read|tank|war,name tokens=grass|wall,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E26,MapInfo.waterWall,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=wall|water,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|laden|manager|map|read|tank|war,name tokens=wall|water,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E27,MapInfo.enemyPosition,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=enemy|position,declaring=info|map,,package=info|map,incoming=1;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=enemy|position,no contextual semantic role identified,DOMAIN_CORE,true,"audited role separates semantic, architectural, and relevance dimensions"
E28,MapInfo.enemyType,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=enemy|type,declaring=info|map,,package=info|map,incoming=1;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=enemy|type,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E29,MapInfo.tankManager,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=manager|tank,declaring=info|map,,package=info|map,incoming=5;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=manager|tank,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E30,MapInfo.read,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=read,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|laden|manager|map|read|tank|war,name tokens=read,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E31,MapInfo.mapSize,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=map|size,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=map|size,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E32,MapInfo.playerLocationX,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=location|player|x,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|laden|manager|map|read|tank|war,name tokens=location|player|x,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E33,MapInfo.playerLocationY,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=location|player|y,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|laden|manager|map|read|tank|war,name tokens=location|player|y,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E34,MapInfo.baseLocationX,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=base|location|x,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|laden|manager|map|read|tank|war,name tokens=base|location|x,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E35,MapInfo.baseLocationY,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=base|location|y,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|laden|manager|map|read|tank|war,name tokens=base|location|y,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E36,MapInfo.brickWallLocationX,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=brick|location|wall|x,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=brick|location|wall|x,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E37,MapInfo.brickWallLocationY,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=brick|location|wall|y,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=brick|location|wall|y,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E38,MapInfo.brickWallWidth,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=brick|wall|width,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=brick|wall|width,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E39,MapInfo.brickWallHeight,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=brick|height|wall,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=brick|height|wall,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E40,MapInfo.metalWallLocationX,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=location|metal|wall|x,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=location|metal|wall|x,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E41,MapInfo.metalWallLocationY,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=location|metal|wall|y,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=location|metal|wall|y,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E42,MapInfo.metalWallWidth,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=metal|wall|width,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=metal|wall|width,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E43,MapInfo.metalWallHeight,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=height|metal|wall,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=height|metal|wall,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E44,MapInfo.grassWallLocationX,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=grass|location|wall|x,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=grass|location|wall|x,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E45,MapInfo.grassWallLocationY,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=grass|location|wall|y,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=grass|location|wall|y,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E46,MapInfo.grassWallWidth,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=grass|wall|width,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=grass|wall|width,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E47,MapInfo.grassWallHeight,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=grass|height|wall,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=grass|height|wall,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E48,MapInfo.waterWallLocationX,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=location|wall|water|x,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=location|wall|water|x,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E49,MapInfo.waterWallLocationY,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=location|wall|water|y,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=location|wall|water|y,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E50,MapInfo.waterWallWidth,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=wall|water|width,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=wall|water|width,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
E51,MapInfo.waterWallHeight,FIELD,MapInfo,MapInfo,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MEDIUM,name=height|wall|water,declaring=info|map,,package=info|map,incoming=2;outgoing=0;block=C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132;products=TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,dependency=info|map|read,name tokens=height|wall|water,no contextual semantic role identified,UNKNOWN,false,audited role is consistent with baseline role
